"Stkcd","Trddt","Dsmvtll"
"000338","2022-08-23","78620959.96"
"000338","2022-08-24","76925080.75"
"000338","2022-08-25","77196421.42"
"000338","2022-08-26","77467762.10"
"000338","2022-08-29","78824465.46"
"000338","2022-08-30","77806937.94"
"000338","2022-08-31","78892300.63"
"000338","2022-09-01","78010443.44"
"000338","2022-09-02","77806937.94"
"000338","2022-09-05","78078278.61"
"000338","2022-09-06","78688795.12"
"000338","2022-09-07","77942608.27"
"000338","2022-09-08","78078278.61"
"000338","2022-09-09","78417454.45"
"000338","2022-09-13","78553124.79"
"000338","2022-09-14","76653740.08"
"000338","2022-09-15","75907553.23"
"000338","2022-09-16","72787135.49"
"000338","2022-09-19","71905278.30"
"000338","2022-09-20","71973113.47"
"000338","2022-09-21","72380124.48"
"000338","2022-09-22","71226926.62"
"000338","2022-09-23","70141563.93"
"000338","2022-09-26","68445684.72"
"000338","2022-09-27","69056201.24"
"000338","2022-09-28","66207124.17"
"000338","2022-09-29","65121761.48"
"000338","2022-09-30","65257431.82"
"000338","2022-10-10","63086706.44"
"000338","2022-10-11","63086706.44"
"000338","2022-10-12","64646915.30"
"000338","2022-10-13","63425882.28"
"000338","2022-10-14","65393102.15"
"000338","2022-10-17","66342794.51"
"000338","2022-10-18","66207124.17"
"000338","2022-10-19","65800113.16"
"000338","2022-10-20","65393102.15"
"000338","2022-10-21","64511244.97"
"000338","2022-10-24","62611860.26"
"000338","2022-10-25","63629387.78"
"000338","2022-10-26","64104233.96"
"000338","2022-10-27","65053926.31"
"000338","2022-10-28","62408354.75"
"000338","2022-10-31","61594332.73"
"000338","2022-11-01","65664442.83"
"000338","2022-11-02","66139289.00"
"000338","2022-11-03","66410629.68"
"000338","2022-11-04","68242179.22"
"000338","2022-11-07","67903003.38"
"000338","2022-11-08","67495992.37"
"000338","2022-11-09","67428157.20"
"000338","2022-11-10","67292486.86"
"000338","2022-11-11","69259706.74"
"000338","2022-11-14","71091256.28"
"000338","2022-11-15","71226926.62"
"000338","2022-11-16","70684245.27"
"000338","2022-11-17","70277234.27"
"000338","2022-11-18","70141563.93"
"000338","2022-11-21","69938058.42"
"000338","2022-11-22","70480739.77"
"000338","2022-11-23","70277234.27"
"000338","2022-11-24","70480739.77"
"000338","2022-11-25","71905278.30"
